date,view,like,share,comment
2025-11-13,85517,3512,341,20
2025-11-12,98360,3202,405,47
2025-11-11,103196,3824,306,33
2025-11-10,257894,8109,2378,102
2025-11-9,140324,4809,587,54
2025-11-8,191770,6765,1229,99
2025-11-7,198808,5531,362,66
2025-11-6,322053,12021,2485,93
2025-11-5,227899,7314,977,116
2025-11-4,189368,4966,1156,162
2025-11-3,130015,4261,691,84
2025-11-2,132938,4846,413,38
2025-11-1,190326,5755,1538,71
2025-10-31,188759,5680,771,140
2025-10-30,168445,5779,493,55
2025-10-29,186521,5808,824,98
2025-10-28,90716,3229,85,45
2025-10-27,153305,4469,428,194
2025-10-26,149837,5054,347,55
2025-10-25,155782,4555,340,64
2025-10-24,79988,2484,138,40
2025-10-23,521458,22257,4658,293
2025-10-22,167608,5875,345,79
2025-10-21,93300,4487,323,208
2025-10-20,161679,6144,380,121
2025-10-19,299448,12421,2143,141
2025-10-18,132704,5628,298,176
2025-10-17,794095,31819,16600,404
2025-10-16,118824,3091,318,409
2025-10-15,193532,7630,1088,446
2025-10-14,103163,4216,248,52
2025-10-13,271805,6269,1743,190
2025-10-12,135998,4080,361,455
2025-10-11,117610,3316,99,50
2025-10-10,396756,8120,2436,112
2025-10-9,201399,7666,784,84
2025-10-8,147398,5563,128,78
2025-10-7,166582,7008,823,1201
2025-10-6,137817,6620,949,124
2025-10-5,97184,3411,157,46
2025-10-4,109956,2591,250,63
2025-10-3,180053,7235,1210,147
2025-10-2,225939,10419,1428,84
2025-10-1,94191,4159,388,44
